roast,tds_percent,pe_percent,attribute,attribute_key,mean_intensity,n_or_se_if_given,lsd_group,fisher_lsd_main_effect,varied_factor,significant_interaction,source_table
all,1.00,all,Flavor Persistence,flavor_persistence,37.9,,,2.22,tds,roast_x_tds,Frost2020_SI Supplemental B
all,1.25,all,Flavor Persistence,flavor_persistence,45.5,,,2.22,tds,roast_x_tds,Frost2020_SI Supplemental B
all,1.50,all,Flavor Persistence,flavor_persistence,49.1,,,2.22,tds,roast_x_tds,Frost2020_SI Supplemental B
all,all,16,Flavor Persistence,flavor_persistence,41.6,,b,2.22,pe,roast_x_tds,Frost2020_SI Supplemental B
all,all,20,Flavor Persistence,flavor_persistence,45.5,,a,2.22,pe,roast_x_tds,Frost2020_SI Supplemental B
all,all,24,Flavor Persistence,flavor_persistence,45.4,,a,2.22,pe,roast_x_tds,Frost2020_SI Supplemental B
Light,all,all,Floral Aroma,floral_aroma,15.5,,,n.s.,roast,,Frost2020_SI Supplemental B
Medium,all,all,Floral Aroma,floral_aroma,13.4,,,n.s.,roast,,Frost2020_SI Supplemental B
Dark,all,all,Floral Aroma,floral_aroma,14.1,,,n.s.,roast,,Frost2020_SI Supplemental B
all,1.00,all,Floral Aroma,floral_aroma,14.0,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.25,all,Floral Aroma,floral_aroma,14.4,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.50,all,Floral Aroma,floral_aroma,14.6,,,n.s.,tds,,Frost2020_SI Supplemental B
all,all,16,Floral Aroma,floral_aroma,13.1,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,20,Floral Aroma,floral_aroma,14.2,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,24,Floral Aroma,floral_aroma,15.7,,,n.s.,pe,,Frost2020_SI Supplemental B
Light,all,all,Hay Like Flavor,hay_like_flavor,15.7,,,n.s.,roast,,Frost2020_SI Supplemental B
Medium,all,all,Hay Like Flavor,hay_like_flavor,15.4,,,n.s.,roast,,Frost2020_SI Supplemental B
Dark,all,all,Hay Like Flavor,hay_like_flavor,14.2,,,n.s.,roast,,Frost2020_SI Supplemental B
all,1.00,all,Hay Like Flavor,hay_like_flavor,14.4,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.25,all,Hay Like Flavor,hay_like_flavor,15.5,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.50,all,Hay Like Flavor,hay_like_flavor,15.4,,,n.s.,tds,,Frost2020_SI Supplemental B
all,all,16,Hay Like Flavor,hay_like_flavor,15.2,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,20,Hay Like Flavor,hay_like_flavor,15.5,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,24,Hay Like Flavor,hay_like_flavor,14.6,,,n.s.,pe,,Frost2020_SI Supplemental B
Light,all,all,Molasses Flavor,molasses_flavor,17.9,,,n.s.,roast,,Frost2020_SI Supplemental B
Medium,all,all,Molasses Flavor,molasses_flavor,16.4,,,n.s.,roast,,Frost2020_SI Supplemental B
Dark,all,all,Molasses Flavor,molasses_flavor,15.9,,,n.s.,roast,,Frost2020_SI Supplemental B
all,1.00,all,Molasses Flavor,molasses_flavor,15.6,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.25,all,Molasses Flavor,molasses_flavor,17.2,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.50,all,Molasses Flavor,molasses_flavor,17.5,,,n.s.,tds,,Frost2020_SI Supplemental B
all,all,16,Molasses Flavor,molasses_flavor,16.7,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,20,Molasses Flavor,molasses_flavor,17.0,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,24,Molasses Flavor,molasses_flavor,16.5,,,n.s.,pe,,Frost2020_SI Supplemental B
Light,all,all,Nutty Aroma,nutty_aroma,29.0,,,n.s.,roast,,Frost2020_SI Supplemental B
Medium,all,all,Nutty Aroma,nutty_aroma,28.4,,,n.s.,roast,,Frost2020_SI Supplemental B
Dark,all,all,Nutty Aroma,nutty_aroma,28.1,,,n.s.,roast,,Frost2020_SI Supplemental B
all,1.00,all,Nutty Aroma,nutty_aroma,27.7,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.25,all,Nutty Aroma,nutty_aroma,29.3,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.50,all,Nutty Aroma,nutty_aroma,28.5,,,n.s.,tds,,Frost2020_SI Supplemental B
all,all,16,Nutty Aroma,nutty_aroma,29.0,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,20,Nutty Aroma,nutty_aroma,28.6,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,24,Nutty Aroma,nutty_aroma,27.9,,,n.s.,pe,,Frost2020_SI Supplemental B
Light,all,all,Nutty Flavor,nutty_flavor,25.4,,,n.s.,roast,,Frost2020_SI Supplemental B
Medium,all,all,Nutty Flavor,nutty_flavor,26.2,,,n.s.,roast,,Frost2020_SI Supplemental B
Dark,all,all,Nutty Flavor,nutty_flavor,27.4,,,n.s.,roast,,Frost2020_SI Supplemental B
all,1.00,all,Nutty Flavor,nutty_flavor,26.6,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.25,all,Nutty Flavor,nutty_flavor,26.8,,,n.s.,tds,,Frost2020_SI Supplemental B
all,1.50,all,Nutty Flavor,nutty_flavor,25.6,,,n.s.,tds,,Frost2020_SI Supplemental B
all,all,16,Nutty Flavor,nutty_flavor,26.4,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,20,Nutty Flavor,nutty_flavor,25.9,,,n.s.,pe,,Frost2020_SI Supplemental B
all,all,24,Nutty Flavor,nutty_flavor,26.6,,,n.s.,pe,,Frost2020_SI Supplemental B
Light,all,all,Roasted Flavor,roasted_flavor,30.8,,,2.06,roast,roast_x_tds,Frost2020_SI Supplemental B
Medium,all,all,Roasted Flavor,roasted_flavor,35.2,,,2.06,roast,roast_x_tds,Frost2020_SI Supplemental B
Dark,all,all,Roasted Flavor,roasted_flavor,42.0,,,2.06,roast,roast_x_tds,Frost2020_SI Supplemental B
all,1.00,all,Roasted Flavor,roasted_flavor,34.3,,,2.06,tds,roast_x_tds,Frost2020_SI Supplemental B
all,1.25,all,Roasted Flavor,roasted_flavor,36.0,,,2.06,tds,roast_x_tds,Frost2020_SI Supplemental B
all,1.50,all,Roasted Flavor,roasted_flavor,37.7,,,2.06,tds,roast_x_tds,Frost2020_SI Supplemental B
all,all,16,Roasted Flavor,roasted_flavor,34.0,,b,2.06,pe,roast_x_tds,Frost2020_SI Supplemental B
all,all,20,Roasted Flavor,roasted_flavor,36.4,,a,2.06,pe,roast_x_tds,Frost2020_SI Supplemental B
all,all,24,Roasted Flavor,roasted_flavor,37.6,,a,2.06,pe,roast_x_tds,Frost2020_SI Supplemental B
Light,all,all,Rubber Flavor,rubber_flavor,15.1,,b,1.53,roast,,Frost2020_SI Supplemental B
Medium,all,all,Rubber Flavor,rubber_flavor,16.2,,b,1.53,roast,,Frost2020_SI Supplemental B
Dark,all,all,Rubber Flavor,rubber_flavor,19.7,,a,1.53,roast,,Frost2020_SI Supplemental B
all,1.00,all,Rubber Flavor,rubber_flavor,15.1,,b,1.53,tds,,Frost2020_SI Supplemental B
all,1.25,all,Rubber Flavor,rubber_flavor,17.3,,a,1.53,tds,,Frost2020_SI Supplemental B
all,1.50,all,Rubber Flavor,rubber_flavor,18.6,,a,1.53,tds,,Frost2020_SI Supplemental B
all,all,16,Rubber Flavor,rubber_flavor,15.5,,b,1.53,pe,,Frost2020_SI Supplemental B
all,all,20,Rubber Flavor,rubber_flavor,17.2,,a,1.53,pe,,Frost2020_SI Supplemental B
all,all,24,Rubber Flavor,rubber_flavor,18.2,,a,1.53,pe,,Frost2020_SI Supplemental B
Light,all,all,Smoke/ Acrid Aroma,smoke_acrid_aroma,20.0,,b,1.93,roast,,Frost2020_SI Supplemental B
Medium,all,all,Smoke/ Acrid Aroma,smoke_acrid_aroma,21.7,,b,1.93,roast,,Frost2020_SI Supplemental B
Dark,all,all,Smoke/ Acrid Aroma,smoke_acrid_aroma,25.1,,a,1.93,roast,,Frost2020_SI Supplemental B
all,1.00,all,Smoke/ Acrid Aroma,smoke_acrid_aroma,21.9,,,1.93,tds,,Frost2020_SI Supplemental B
all,1.25,all,Smoke/ Acrid Aroma,smoke_acrid_aroma,22.4,,,1.93,tds,,Frost2020_SI Supplemental B
all,1.50,all,Smoke/ Acrid Aroma,smoke_acrid_aroma,22.5,,,1.93,tds,,Frost2020_SI Supplemental B
all,all,16,Smoke/ Acrid Aroma,smoke_acrid_aroma,22.0,,,1.93,pe,,Frost2020_SI Supplemental B
all,all,20,Smoke/ Acrid Aroma,smoke_acrid_aroma,22.8,,,1.93,pe,,Frost2020_SI Supplemental B
all,all,24,Smoke/ Acrid Aroma,smoke_acrid_aroma,22.0,,,1.93,pe,,Frost2020_SI Supplemental B
Light,all,all,Sourness,sourness,37.4,,,1.71,roast,roast_x_tds,Frost2020_SI Supplemental B
Medium,all,all,Sourness,sourness,31.5,,,1.71,roast,roast_x_tds,Frost2020_SI Supplemental B
Dark,all,all,Sourness,sourness,27.6,,,1.71,roast,roast_x_tds,Frost2020_SI Supplemental B
all,1.00,all,Sourness,sourness,26.5,,,1.71,tds,roast_x_tds,Frost2020_SI Supplemental B
all,1.25,all,Sourness,sourness,32.9,,,1.71,tds,roast_x_tds,Frost2020_SI Supplemental B
